Factor Desencadenante de la Agresión,Escenario del Hecho,Zona del Hecho,Sexo de la victima,Sexo del Agresor,Ciclo Vital,Municipio del hecho DANE,Cluster
"Celos, desconfianza, infidelidad",Vivienda,Cabecera municipal,Mujer,Hombre,(29 a 59) Adultez,Girardot,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Mujer,(00 a 05) Primera Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Mujer,(00 a 05) Primera Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
Alcoholismo / drogadicción,Vivienda,Cabecera municipal,Mujer,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(06 a 11) Infancia,Soacha,Cluster 1
"Intolerancia, machismo","Calle (Autopista,Avenida,Dentro de La Ciudad)",Cabecera municipal,Mujer,Hombre,(18 a 28) Juventud,Soacha,Cluster 2
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(Más de 60) Adulto Mayor,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(12 a 17) Adolescencia,Girardot,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Mujer,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(Más de 60) Adulto Mayor,Girardot,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Mujer,Mujer,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(Más de 60) Adulto Mayor,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(18 a 28) Juventud,Girardot,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(00 a 05) Primera Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(Más de 60) Adulto Mayor,Soacha,Cluster 1
"Intolerancia, machismo","Calle (Autopista,Avenida,Dentro de La Ciudad)",Cabecera municipal,Hombre,Mujer,(29 a 59) Adultez,Soacha,Cluster 2
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Celos, desconfianza, infidelidad",Vía Pública,Cabecera municipal,Hombre,Hombre,(00 a 05) Primera Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
Alcoholismo / drogadicción,Vivienda,Cabecera municipal,Mujer,Mujer,(18 a 28) Juventud,Cajicá,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Mujer,Mujer,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Sin información,Mujer,Mujer,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(29 a 59) Adultez,Soacha,Cluster 1
"Celos, desconfianza, infidelidad",Otros,Cabecera municipal,Hombre,Hombre,(29 a 59) Adultez,Girardot,Cluster 3
"Intolerancia, machismo","Calle (Autopista,Avenida,Dentro de La Ciudad)",Cabecera municipal,Hombre,Hombre,(29 a 59) Adultez,Guaduas,Cluster 2
Sin información,"Calle (Autopista,Avenida,Dentro de La Ciudad)",Cabecera municipal,Hombre,Hombre,(Más de 60) Adulto Mayor,Pacho,Cluster 2
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Sin información,Cabecera municipal,Hombre,Hombre,(06 a 11) Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Hombre,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Mujer,Mujer,(18 a 28) Juventud,Soacha,Cluster 1
Alcoholismo / drogadicción,"Establecimiento Comercial (Tienda,Centro Comercial,Almacén,Plaza de Mercado)",Cabecera municipal,Mujer,Mujer,(18 a 28) Juventud,Soacha,Cluster 2
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Parte rural (vereda y campo),Mujer,Mujer,(00 a 05) Primera Infancia,Pacho,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Mujer,(00 a 05) Primera Infancia,Soacha,Cluster 1
Sin información,Vivienda,Sin información,Hombre,Hombre,(29 a 59) Adultez,Chía,Cluster 1
"Intolerancia, machismo","Establecimiento Comercial (Tienda,Centro Comercial,Almacén,Plaza de Mercado)",Cabecera municipal,Hombre,Hombre,(29 a 59) Adultez,Soacha,Cluster 2
"Intolerancia, machismo","Calle (Autopista,Avenida,Dentro de La Ciudad)",Cabecera municipal,Hombre,Hombre,(18 a 28) Juventud,Soacha,Cluster 2
"Intolerancia, machismo","Calle (Autopista,Avenida,Dentro de La Ciudad)",Cabecera municipal,Hombre,Hombre,(18 a 28) Juventud,Soacha,Cluster 2
Alcoholismo / drogadicción,Vivienda,Cabecera municipal,Mujer,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo","Lugares de Cuidado de Personas (Hospicios,Orfelinatos,Hogares Geriatricos,Etc)",Cabecera municipal,Hombre,Mujer,(00 a 05) Primera Infancia,Soacha,Cluster 3
"Intolerancia, machismo",Sin información,Cabecera municipal,Mujer,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
Sin información,Sin información,Cabecera municipal,Mujer,Mujer,(00 a 05) Primera Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Mujer,Mujer,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Mujer,Hombre,(Más de 60) Adulto Mayor,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
Alcoholismo / drogadicción,Vivienda,Cabecera municipal,Hombre,Hombre,(Más de 60) Adulto Mayor,Soacha,Cluster 1
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Mujer,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
Sin información,Vivienda,Cabecera municipal,Mujer,Mujer,(00 a 05) Primera Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Mujer,(Más de 60) Adulto Mayor,Soacha,Cluster 1
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Hombre,Hombre,(00 a 05) Primera Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Hombre,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(12 a 17) Adolescencia,Soacha,Cluster 1
Alcoholismo / drogadicción,Vivienda,Cabecera municipal,Hombre,Mujer,(00 a 05) Primera Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(18 a 28) Juventud,Girardot,Cluster 1
Alcoholismo / drogadicción,Vía Pública,Cabecera municipal,Hombre,Mujer,(29 a 59) Adultez,Soacha,Cluster 1
Alcoholismo / drogadicción,Vivienda,Cabecera municipal,Hombre,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Celos, desconfianza, infidelidad",Vivienda,Cabecera municipal,Mujer,Hombre,(18 a 28) Juventud,Girardot,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
Alcoholismo / drogadicción,Vivienda,Cabecera municipal,Mujer,Hombre,(00 a 05) Primera Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(29 a 59) Adultez,Girardot,Cluster 1
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Mujer,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
Alcoholismo / drogadicción,Vivienda,Cabecera municipal,Mujer,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(00 a 05) Primera Infancia,Girardot,Cluster 1
Sin información,Centros Educativos,Cabecera municipal,Hombre,Mujer,(00 a 05) Primera Infancia,Chía,Cluster 2
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(18 a 28) Juventud,Soacha,Cluster 1
"Celos, desconfianza, infidelidad",Vivienda,Cabecera municipal,Mujer,Mujer,(06 a 11) Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Hombre,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(06 a 11) Infancia,Girardot,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Mujer,(06 a 11) Infancia,Girardot,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Mujer,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(06 a 11) Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Hombre,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Mujer,(00 a 05) Primera Infancia,Soacha,Cluster 1
Alcoholismo / drogadicción,"Calle (Autopista,Avenida,Dentro de La Ciudad)",Cabecera municipal,Hombre,Hombre,(18 a 28) Juventud,Soacha,Cluster 2
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Hombre,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(06 a 11) Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Hombre,Mujer,(06 a 11) Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
Alcoholismo / drogadicción,"Calle (Autopista,Avenida,Dentro de La Ciudad)",Cabecera municipal,Hombre,Hombre,(00 a 05) Primera Infancia,Pacho,Cluster 2
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(12 a 17) Adolescencia,Chía,Cluster 1
"Intolerancia, machismo",Sin información,Cabecera municipal,Hombre,Mujer,(06 a 11) Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Mujer,(06 a 11) Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(06 a 11) Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(06 a 11) Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(06 a 11) Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(00 a 05) Primera Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(06 a 11) Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Centros Educativos,Cabecera municipal,Hombre,Hombre,(12 a 17) Adolescencia,Pacho,Cluster 2
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Mujer,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
Alcoholismo / drogadicción,Vía Pública,Cabecera municipal,Hombre,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo","Establecimiento Comercial (Tienda,Centro Comercial,Almacén,Plaza de Mercado)",Cabecera municipal,Hombre,Mujer,(18 a 28) Juventud,Soacha,Cluster 2
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Hombre,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Hombre,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo","Calle (Autopista,Avenida,Dentro de La Ciudad)",Cabecera municipal,Hombre,Hombre,(Más de 60) Adulto Mayor,Soacha,Cluster 2
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo","Calle (Autopista,Avenida,Dentro de La Ciudad)",Cabecera municipal,Hombre,Hombre,(18 a 28) Juventud,Girardot,Cluster 2
"Celos, desconfianza, infidelidad","Calle (Autopista,Avenida,Dentro de La Ciudad)",Cabecera municipal,Hombre,Hombre,(Más de 60) Adulto Mayor,Girardot,Cluster 2
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Hombre,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Parte rural (vereda y campo),Hombre,Hombre,(29 a 59) Adultez,Girardot,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(Más de 60) Adulto Mayor,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Mujer,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Mujer,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo","Calle (Autopista,Avenida,Dentro de La Ciudad)",Cabecera municipal,Hombre,Hombre,(29 a 59) Adultez,Soacha,Cluster 2
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Mujer,(Más de 60) Adulto Mayor,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(Más de 60) Adulto Mayor,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(Más de 60) Adulto Mayor,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Mujer,(06 a 11) Infancia,Girardot,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Mujer,(29 a 59) Adultez,Soacha,Cluster 1
"Celos, desconfianza, infidelidad",Vivienda,Cabecera municipal,Hombre,Hombre,(Más de 60) Adulto Mayor,Girardot,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Mujer,Mujer,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(00 a 05) Primera Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Hombre,Mujer,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Mujer,Hombre,(06 a 11) Infancia,Soacha,Cluster 1
Sin información,Vivienda,Parte rural (vereda y campo),Hombre,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Parte rural (vereda y campo),Mujer,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
"Celos, desconfianza, infidelidad",Vivienda,Cabecera municipal,Hombre,Hombre,(29 a 59) Adultez,Girardot,Cluster 1
Económicas,Vivienda,Cabecera municipal,Hombre,Mujer,(18 a 28) Juventud,Pacho,Cluster 1
Alcoholismo / drogadicción,Vivienda,Cabecera municipal,Hombre,Hombre,(06 a 11) Infancia,Girardot,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(06 a 11) Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Mujer,(06 a 11) Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Hombre,Hombre,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
Alcoholismo / drogadicción,Vivienda,Cabecera municipal,Hombre,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Mujer,(12 a 17) Adolescencia,Girardot,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(00 a 05) Primera Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Mujer,Mujer,(06 a 11) Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Mujer,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(12 a 17) Adolescencia,Chía,Cluster 1
Alcoholismo / drogadicción,Vivienda,Cabecera municipal,Mujer,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(00 a 05) Primera Infancia,Cajicá,Cluster 1
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Hombre,Hombre,(Más de 60) Adulto Mayor,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Mujer,(18 a 28) Juventud,Soacha,Cluster 1
"Intolerancia, machismo",Vía Pública,Cabecera municipal,Hombre,Hombre,(Más de 60) Adulto Mayor,Soacha,Cluster 1
Alcoholismo / drogadicción,Vivienda,Cabecera municipal,Hombre,Hombre,(29 a 59) Adultez,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(29 a 59) Adultez,Chía,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Hombre,Mujer,(00 a 05) Primera Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo","Lugares de Hospedaje (Hoteles,Campamentos Y Otros Tipos de Hospedaje No Permanente,Moteles,Etc)",Cabecera municipal,Mujer,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 3
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(06 a 11) Infancia,Girardot,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Hombre,(12 a 17) Adolescencia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(06 a 11) Infancia,Soacha,Cluster 1
"Intolerancia, machismo",Vivienda,Sin información,Mujer,Hombre,(06 a 11) Infancia,Soacha,Cluster 1
"Celos, desconfianza, infidelidad",Vivienda,Cabecera municipal,Mujer,Hombre,(12 a 17) Adolescencia,Girardot,Cluster 1
"Intolerancia, machismo",Vivienda,Cabecera municipal,Mujer,Mujer,(00 a 05) Primera Infancia,Soacha,Cluster 1
